date,GDP_normalized,CPIAUCSL_normalized
2014-01-01,0.0,0.004216466410931421
2014-04-01,0.03363589243435176,0.02404653964429548
2014-07-01,0.06359644730651216,0.03365247440002567
2014-10-01,0.07490568643404075,0.024300161684050595
2015-01-01,0.09078670993743095,0.0
2015-04-01,0.11346317568669292,0.025441460862949284
2015-07-01,0.12623950890359692,0.03962844371175856
2015-10-01,0.129753467164555,0.03934311891703389
2016-01-01,0.1392743216380702,0.03699711504929784
2016-04-01,0.15875403015706227,0.06713058364771922
2016-07-01,0.17772705590571156,0.08325143454966254
2016-10-01,0.1983571817826153,0.10747233934628923
2017-01-01,0.2183544784958147,0.13448308658022398
2017-04-01,0.23498095063628424,0.13893732365342576
2017-07-01,0.26161031795707024,0.15743588117807467
2017-10-01,0.2977338004909328,0.18836191865073096
2018-01-01,0.32829677517178923,0.22139618932885294
2018-04-01,0.35475910075972006,0.24290650857559548
2018-07-01,0.3775994624464913,0.2588688457026919
2018-10-01,0.39009214978306056,0.275116507624513
2019-01-01,0.41040696210648314,0.2858161874266875
2019-04-01,0.4404323203627646,0.3153156009257209
2019-07-01,0.47390704321557314,0.32866246076784095
2019-10-01,0.4965615932572604,0.35717908886282207
2020-01-01,0.47500660354872976,0.3711124496718767
2020-04-01,0.2870754264204235,0.332419237231716
2020-07-01,0.47048651507638145,0.37864185397711114
2020-10-01,0.5107753452274457,0.4073011444694548
2021-01-01,0.5724356603585433,0.44883175347937787
2021-04-01,0.6471030003652269,0.5273436261611135
2021-07-01,0.7051041263502412,0.594981453888343
2021-10-01,0.794764222114543,0.6867609295247762
2022-01-01,0.8407403356710441,0.7841834955457636
2022-04-01,0.9026391020893432,0.8932409726405232
2022-07-01,0.9515268589579511,0.9535237612148502
2022-10-01,1.0,1.0
